leaf_rate,stem_rate,root_rate,sr,time,speed,water,nitrate,leaf_mass,stem_mass,root_mass,starch_mass
0.0,0.0,0.0,0.0,517909,240,0,100000.0,0.1,0.1,0.8,100000.0
0.0,0.0,0.0,0.0,733122,240,0,100000.0,0.1,0.1,0.8,100000.0
0.0,0.0,1.3510035063353687,0.0,38346017,38400,2828664.4885564856,100000.0,0.1,0.1,0.8,100000.0
0.0,0.0,1.3510035063353687,0.0,74212551,38400,8875370.306139745,95605.69522919366,0.1,0.1,1.48121793282249,88664.32000000002
0.0,0.0,1.3510035063353687,0.0,112383145,38400,14982506.306139749,91166.73288957834,0.1,0.1,2.1693588121167515,77213.43999999999
0.0,0.0,1.3510035063353687,0.0,150976150,38400,21151082.306139752,86683.11298115399,0.1,0.1,2.8644226378827855,65647.35999999994
0.0,0.0,1.3510035063353687,0.0,189953165,38400,24941930.306139756,82145.9039901588,0.1,0.1,3.56779399941495,53943.03999999996
0.0,0.0,0.008443771914596054,0.0,203015684,240,24941930.306139756,80569.21270139578,1,1.0,4.259396351945102,42434.55999999995
0.0,0.0,0.008443771914596054,0.0,203255479,240,24941930.30613976,80541.44127579273,1,1.0,4.26370155928224,42362.91999999984
0.0,0.0,0.008443771914596054,0.0,203494310,240,24941930.30613976,80513.8094050922,1,1.0,4.267985132411655,42291.63999999973
0.0,0.0,0.008443771914596054,0.0,203740612,240,24941930.30613976,80485.31229399604,1,1.0,4.272402837628956,42218.12799999962
0.0,0.0,0.00942066087433685,0.0,203980648,240,24941930.30613976,80457.54086839303,1,1.0,4.276708044966092,42146.48799999951
0.0,0.0,0.00967223166589424,0.0,204223817,240,24941930.306139756,80426.55647122444,1,1.0,4.28151133651957,42074.8479999994
0.0,0.0,0.009907030908073858,0.0,204465299,240,24941930.30613976,80394.39297355575,1,1.0,4.2864974156690545,42002.41599999929
0.0,0.0,0.010136546467677128,0.0,204705335,240,24941930.306139756,80361.64517442747,1,1.0,4.291574074933757,41930.41599999918
0.0,0.0,0.010363973792953887,0.0,204943925,240,24941930.306139752,80328.40676082687,1,1.0,4.296726790683862,41858.991999999074
0.0,0.0,0.0105841337727658,0.0,205184202,240,24941930.306139752,80294.18279021884,1,1.0,4.302032290353657,41787.063999998965
0.0,0.0,0.010771826694184179,0.0,205430504,240,24941930.306139756,80258.95191836794,1,1.0,4.307493882788749,41714.559999998855
0.0,0.0,0.010955290838118558,0.0,205669094,240,24941930.30613976,80223.63037842957,1,1.0,4.312969530855053,41643.135999998754
0.0,0.0,0.01114145365001536,0.0,205909130,240,24941930.306139756,80187.09162912218,1,1.0,4.318633874265317,41570.487999998644
0.0,0.0,0.011324173364284984,0.0,206148684,240,24941930.306139752,80150.4107448941,1,1.0,4.3243202518452115,41498.775999998536
0.0,0.0,0.011465611507858416,0.0,206390407,240,24941930.30613976,80112.82883714601,1,1.0,4.330146308717241,41426.487999998426
0.0,0.0,1.8344978412573443,0.0,224758853,38400,24941930.30613976,77393.67664784033,1,1.0,4.3359687534432245,41355.13599999832
0.0,0.0,0.01146561150785841,0.0,233889205,240,24941930.306139756,75788.81366654318,1,1.0,5.280720632290521,29777.53599999831
0.0,0.0,0.011465611507858402,0.0,234129241,240,24941930.306139752,75750.91396217917,1,1.0,5.286595954920164,29705.535999998338
0.0,0.0,0.11465611507858392,0.0,235984475,2400,24941930.306139752,75462.91410871652,1,1.0,5.292430150291404,29634.039999998367
0.0,0.0,0.11465611507858406,0.0,238409485,2400,24941930.306139752,75080.50609168287,1,1.0,5.351712155624554,28907.55999999838
0.0,0.0,0.11465611507858392,0.0,240786475,2400,24941930.306139752,74704.92002143475,1,1.0,5.409936602884367,28194.039999998397
0.0,0.0,0.11358169486028004,0.0,243230693,2400,24941930.306139752,74325.54398075026,1,1.0,5.468748582407149,27473.31999999841
0.0,0.0,0.09218320316637972,0.0,245648500,2400,24941930.306139752,73949.72299936778,1,1.0,5.5270094462756445,26752.59999999841
0.0,0.0,0.0844377191459606,0.0,248037495,2400,24941930.306139752,73644.09627432295,1,1.0,5.574388591944707,26030.43999999843
