Time,,,Percentage Sliders,,,,,Intake,Mikromol/Second,,,Masses,gramm DW,,,Pools,Mikromol,,Rates,MirkoMol/Second,,
Days,Hours,Minutes,Leaf_percentage, Stem_percentage,Root_percentage,Starch_percentage,Seed_percentage,Water_in,Nitrate_in,Starch_in,Photon_in,Leaf_mass,Stem_mass,Root_mass,Seed_mass,Water_pool,Starch_pool,Nitrate_pool,Leaf_rate,Stem_rate,Root_rate,Seed_rate
0,1.6613833333333334,39.683,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.0,0.1,0,0,0,0,0,0,0
0,2.330273611111111,19.816416666666665,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.040223119913639,0.1,0,0,0,0.0,0.0,0.00011538473870809085,0.0
0,2.996161388888889,59.76968333333333,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.086332335130989,0.1,0,0,0,0.0,0.0,0.00011538854260484399,0.0
0,3.6673869444444445,40.043216666666666,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.132766143898015,0.1,0,0,0,0.0,0.0,0.00011539234662683029,0.0
0,4.326936111111111,19.61616666666667,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9001,1.0,4.178393710396275,0.1,0,0,0,0.0,0.0,0.00011539615077449383,0.0
0,5.002832222222223,0.16993333333333333,0.0,0.0,100.0,-100.0,10,0,0,0,0,0.9001,1.0,4.225130622191675,0.11,0,0,0,0.0,0.0,0.00011539995504694645,0.0
0,5.665383888888889,39.923033333333336,0.0,0.0,100.0,-100.0,10,0,0,0,0,0.9002,1.0,4.2702870357291935,0.1513943750030732,0,0,0,0.0,0.0,0.00011340924658354012,1.1340924658376217e-05
0,6.335608611111111,20.136516666666665,0.0,0.0,100.0,-100.0,10,0,0,0,0,0.9002,1.0,4.315904540096565,0.1970118793704622,0,0,0,0.0,0.0,0.00011376835164167431,1.1376835164167431e-05
0,7.002830833333333,0.16985,8.611111111111128,8.611111111111128,82.77777777777777,-100.0,10,0,0,0,0,0.9002,1.0,4.361430513689803,0.24253785296347777,0,0,0,0.0,0.0,0.00011368798560074111,1.1368798560007498e-05
0,7.663047222222223,39.782833333333336,8.611111111111128,8.611111111111128,82.77777777777777,-100.0,10,0,0,0,0,0.9032302206283107,1.0030302206282766,4.399381919025175,0.28654969955562903,0,0,0,9.517024586402911e-06,9.517024586291889e-06,9.148623634658293e-05,1.1052028552005488e-05
0,8.336274444444445,20.176466666666666,8.611111111111128,8.611111111111128,82.77777777777777,-100.0,10,0,0,0,0,0.9070504044089873,1.0068504044089746,4.436104976013638,0.33091312410564855,0,0,0,9.52364667661243e-06,9.523646676723452e-06,9.154989385917744e-05,1.105971872128464e-05
0,9.01083611111111,0.6501666666666667,8.611111111111128,8.611111111111128,82.77777777777777,-100.0,10,0,0,0,0,0.9108943183499437,1.0106943183499404,4.473056148736402,0.3755521247102932,0,0,0,9.524178039121978e-06,9.524178039121978e-06,9.15550017954736e-05,1.1060335787349551e-05
0,9.671386111111111,40.283166666666666,8.611111111111128,8.611111111111128,82.77777777777777,-100.0,10,0,0,0,0,0.9146772304842237,1.0144772304842544,4.509420916995202,0.4194827172378336,0,0,0,9.523877041561768e-06,9.52387704167279e-06,9.155210833577954e-05,1.105998624195692e-05
0,10.339609166666667,20.37655,8.611111111111128,8.611111111111128,82.77777777777777,-100.0,10,0,0,0,0,0.9184911974041505,1.0182911974042002,4.546084211903001,0.46377394598548227,0,0,0,9.526362912404274e-06,9.526362912404274e-06,9.15760047708325e-05,1.1062873059519696e-05
0,11.004829722222222,0.28978333333333334,8.611111111111128,8.611111111111128,82.77777777777777,-100.0,10,0,0,0,0,0.9222823224261921,1.0220823224262425,4.582527929856774,0.5077999139834494,0,0,0,9.525206057570124e-06,9.525206057570124e-06,9.156488403716523e-05,1.1061529615274956e-05
0,11.667715,40.0629,8.611111111111128,8.611111111111128,82.77777777777777,-100.0,10,0,0,0,0,0.9260661245174224,1.0257762245174398,4.618901253185128,0.5517408414943074,0,0,0,9.52655358921195e-06,9.526553589100928e-06,9.157783772772987e-05,1.1063094490615377e-05
0,12.334937222222223,20.096233333333334,8.611111111111128,8.611111111111128,82.77777777777777,-100.0,10,0,0,0,0,0.9298792759262348,1.0294790759262402,4.655556708663213,0.5960225997900795,0,0,0,9.502343968237348e-06,9.502343968237348e-06,9.134511298469761e-05,1.1034980092139435e-05
0,13.011834166666667,0.71005,8.611111111111128,8.611111111111128,82.77777777777777,-100.0,10,0,0,0,0,0.9337225668508462,1.0333223668508877,4.692501892390364,0.6406543653662619,0,0,0,9.510057013217832e-06,9.510057013328854e-06,9.141925774081017e-05,1.104393717665797e-05
0,13.673385,40.4031,8.611111111111128,8.611111111111128,82.77777777777777,-100.0,10,0,0,0,0,0.9375145047124591,1.0371143047124807,4.728953424092168,0.6846897727914739,0,0,0,9.527545404286464e-06,9.527545404175441e-06,9.158737195003042e-05,1.1064246275949152e-05
0,14.3429425,20.57655,8.611111111111128,8.611111111111128,82.77777777777777,-100.0,10,0,0,0,0,0.9413390161830149,1.0409388161830586,4.765718082744741,0.7291034543849862,0,0,0,9.528067839381649e-06,9.528067839492671e-06,9.159239406963948e-05,1.106485297475146e-05
