time,temperature,sun_intensity,humidity,precipitation,accessible_water,accessible_nitrate,leaf_biomass,stem_biomass,root_biomass,seed_biomass,starch_pool,max_starch_pool,water_pool,max_water_pool,leaf_percent,stem_percent,root_percent,seed_percent,starch_percent,action,reward
366000,3.8035999999999994,-0.5735764363510507,92.0,0.0,640752.765633676,19.997730679421487,0.010862740378909061,0.022326755422762065,0.021742641483919228,0,2.3019783185437426,2.5872053615314585,2485.1451451758485,2485.87276824846,0,0,0,0,100,PRODUCE_STARCH,0.0
366600,3.8035999999999994,-0.5372996083468263,92.0,0.0,636925.9424199896,19.99771782366802,0.010879136599190252,0.022326755422762065,0.021742641483919228,0,2.301630190116235,2.5879637875648456,2485.87276824846,2486.6014891498467,100,0,0,0,-100,GROW_LEAVES,0.0002984813825093772
367200,2.0388,-0.5000000000000003,96.0,0.0,633122.8666091262,19.99771782366802,0.010879136599190252,0.022326755422762065,0.021742641483919228,0,2.301630190116235,2.5879637875648456,2485.87276824846,2486.6014891498467,0,0,0,0,100,PRODUCE_STARCH,0.0
367800,2.0388,-0.4617486132350351,96.0,0.0,629341.9393394152,19.997704967922424,0.0108955575578725,0.022326755422762065,0.021742641483919228,0,2.3012820619018695,2.588723357901435,2486.6014891498467,2487.3313095357244,100,0,0,0,-100,GROW_LEAVES,0.00029884252835415764
368400,2.0388,-0.4226182617406983,96.0,0.0,625584.4851265688,19.997704967922424,0.0108955575578725,0.022326755422762065,0.021742641483919228,0,2.3012820619018695,2.588723357901435,2486.6014891498467,2487.3313095357244,0,0,0,0,100,BUY_STEM,0.0
369000,2.0388,-0.3826834323650927,96.0,0.0,621849.6343749362,19.997704967922424,0.0108955575578725,0.022326755422762065,0.021742641483919228,0,2.3012820619018695,2.588723357901435,2486.6014891498467,2487.3313095357244,0,0,0,0,100,CLOSE_STOMATA,0.0
369600,2.0388,-0.3420201433256726,96.0,0.0,618137.2514257776,19.997704967922424,0.0108955575578725,0.022326755422762065,0.021742641483919228,0,2.3012820619018695,2.588723357901435,2486.6014891498467,2487.3313095357244,0,0,0,0,100,BUY_LEAF,0.0
370200,2.0388,-0.30070579950427456,96.0,0.0,614447.2014327412,19.997704967922424,0.0108955575578725,0.022326755422762065,0.021742641483919228,0,2.3012820619018695,2.588723357901435,2486.6014891498467,2487.3313095357244,0,0,0,0,100,BUY_LEAF,0.0
370800,2.0388,-0.2588190451025197,96.0,0.0,610778.6205366042,19.997692112184694,0.0108955575578725,0.02236189367273451,0.021742641483919228,0,2.300937032731466,2.590348718081386,2487.3313095357244,2488.8930095345,0,100,0,0,-100,GROW_STEM,0.0006392846189858983
371400,2.0388,-0.21643961393810618,96.0,0.0,607131.2778208934,19.997679256454838,0.0108955575578725,0.02239708720237058,0.021742641483919228,0,2.300591460759847,2.591976635285778,2488.8930095345,2490.4571664072137,0,100,0,0,-100,GROW_STEM,0.000639881278359463
372000,2.0388,-0.1736481776669346,96.0,0.0,603507.439391911,19.997679256454838,0.0108955575578725,0.02239708720237058,0.021742641483919228,0,2.300591460759847,2.591976635285778,2488.8930095345,2490.4571664072137,0,0,0,0,100,BUY_ROOT,0.0
372600,2.0388,-0.1305261922200533,96.0,0.0,599905.4024781479,19.997679256454838,0.0108955575578725,0.02239708720237058,0.021742641483919228,0,2.300591460759847,2.591976635285778,2488.8930095345,2490.4571664072137,0,0,0,0,100,BUY_ROOT,0.0
373200,2.0388,-0.08715574274765728,96.0,0.0,596325.0362231612,19.997679256454838,0.0108955575578725,0.02239708720237058,0.021742641483919228,0,2.300591460759847,2.591976635285778,2488.8930095345,2490.4571664072137,0,0,0,0,100,OPEN_STOMATA,0.0
373800,2.0388,-0.04361938736533604,96.0,0.0,592766.2105540853,19.997679256454838,0.0108955575578725,0.02239708720237058,0.021742641483919228,0,2.300591460759847,2.591976635285778,2488.8930095345,2490.4571664072137,0,0,0,0,100,PRODUCE_STARCH,0.0
374400,2.0388,-4.532431118118384e-15,96.0,0.0,589227.2320200597,19.997666400732847,0.0108955575578725,0.0224323360986026,0.021742641483919228,0,2.3002453451334084,2.593607113535767,2490.4571664072137,2492.0237840175255,0,100,0,0,-100,GROW_STEM,0.0006404781120904897
375000,2.0388,0.04361938736533763,96.0,0.0,585709.5431823775,19.997653545018736,0.010911647821889097,0.0224323360986026,0.021742641483919228,0,2.299885524837828,2.5943513872101245,2492.0237840175255,2492.7389068627076,100,0,0,0,-100,GROW_LEAVES,0.00029217555223636096
375600,2.0388,0.08715574274765886,96.0,0.0,582214.5853276189,19.997653545018736,0.010911647821889097,0.0224323360986026,0.021742641483919228,0,2.299885524837828,2.5943513872101245,2492.0237840175255,2492.7389068627076,0,0,0,0,100,OPEN_STOMATA,0.0
376200,2.0388,0.13052619222005488,96.0,0.0,578740.65539713,19.997653545018736,0.010911647821889097,0.0224323360986026,0.021742641483919228,0,2.299885524837828,2.5943513872101245,2492.0237840175255,2492.7389068627076,0,0,0,0,100,OPEN_STOMATA,0.0
376800,2.0388,0.1736481776669292,96.0,0.0,575287.6271666638,19.997653545018736,0.010911647821889097,0.0224323360986026,0.021742641483919228,0,2.299885524837828,2.5943513872101245,2492.0237840175255,2492.7389068627076,0,0,0,0,100,BUY_STEM,0.0
377400,2.0388,0.2164396139381008,96.0,0.0,571855.375167765,19.997653545018736,0.010911647821889097,0.0224323360986026,0.021742641483919228,0,2.299885524837828,2.5943513872101245,2492.0237840175255,2492.7389068627076,0,0,0,0,100,BUY_STEM,0.0
378000,2.0388,0.25881904510252124,96.0,0.0,568443.774683237,19.997653545018736,0.010911647821889097,0.0224323360986026,0.021742641483919228,0,2.299885524837828,2.5943513872101245,2492.0237840175255,2492.7389068627076,0,0,0,0,100,BUY_LEAF,0.0
378600,2.0388,0.30070579950427606,96.0,0.0,565052.7017426357,19.997653545018736,0.010911647821889097,0.0224323360986026,0.021742641483919228,0,2.299885524837828,2.5943513872101245,2492.0237840175255,2492.7389068627076,0,0,0,0,100,BUY_STEM,0.0
379200,2.0388,0.34202014332567077,96.0,0.0,561682.0331177914,19.997653545018736,0.010911647821889097,0.0224323360986026,0.021742641483919228,0,2.299885524837828,2.5943513872101245,2492.0237840175255,2492.7389068627076,0,0,0,0,100,BUY_SEED,0.0
379800,2.0388,0.3826834323650876,96.0,0.0,558330.9311955112,19.99764068931249,0.01092776183770554,0.0224323360986026,0.021742641483919228,0,2.2995257047625484,2.5950967595513106,2492.7389068627076,2493.4550853434384,100,0,0,0,-100,GROW_LEAVES,0.0002925213824253013
380400,2.0388,0.4226182617406997,96.0,0.0,555000.7087552721,19.99764068931249,0.01092776183770554,0.0224323360986026,0.021742641483919228,0,2.2995257047625484,2.5950967595513106,2492.7389068627076,2493.4550853434384,0,0,0,0,100,OPEN_STOMATA,0.0
381000,2.0388,0.4617486132350365,96.0,0.0,551690.525329796,19.99764068931249,0.01092776183770554,0.0224323360986026,0.021742641483919228,0,2.2995257047625484,2.5950967595513106,2492.7389068627076,2493.4550853434384,0,0,0,0,100,BUY_STEM,0.0
381600,1.1563999999999997,0.5000000000000017,98.0,0.0,548399.5444374329,19.997627833614118,0.01092776183770554,0.0224323360986026,0.021779393434909717,0,2.2991923416320357,2.5967967633284563,2493.4550853434384,2495.0885053874604,0,0,100,0,-100,GROW_ROOTS,0.000666971395200819
382200,1.1563999999999997,0.5372996083468217,98.0,0.0,545127.4497292825,19.99761497792361,0.01092776183770554,0.022466839362800008,0.021779393434909717,0,2.2988459999650943,2.598392751510815,2495.0885053874604,2496.621983796234,0,100,0,0,-100,GROW_STEM,0.000625745057478269
382800,1.1563999999999997,0.5735764363510462,98.0,0.0,541876.6784776923,19.99761497792361,0.01092776183770554,0.022466839362800008,0.021779393434909717,0,2.2988459999650943,2.598392751510815,2495.0885053874604,2496.621983796234,0,0,0,0,100,PRODUCE_STARCH,0.0
383400,1.1563999999999997,0.60876142900872,98.0,0.0,538645.4692481912,19.99761497792361,0.01092776183770554,0.022466839362800008,0.021779393434909717,0,2.2988459999650943,2.598392751510815,2495.0885053874604,2496.621983796234,0,0,0,0,100,PRODUCE_STARCH,0.0
384000,1.1563999999999997,0.6427876096865407,98.0,0.0,535433.7045934286,19.99761497792361,0.01092776183770554,0.022466839362800008,0.021779393434909717,0,2.2988459999650943,2.598392751510815,2495.0885053874604,2496.621983796234,0,0,0,0,100,BUY_LEAF,0.0
384600,1.1563999999999997,0.6755902076156635,98.0,0.0,532241.2677692104,19.99761497792361,0.01092776183770554,0.022466839362800008,0.021779393434909717,0,2.2988459999650943,2.598392751510815,2495.0885053874604,2496.621983796234,0,0,0,0,100,PRODUCE_STARCH,0.0
385200,0.2740000000000009,0.7071067811865475,100.0,0.0,529068.0427302825,19.99761497792361,0.01092776183770554,0.022466839362800008,0.021779393434909717,0,2.2988459999650943,2.598392751510815,2495.0885053874604,2496.621983796234,0,0,0,0,100,BUY_SEED,0.0
385800,0.2740000000000009,0.7372773368101233,100.0,0.0,525912.380647732,19.997602122240984,0.010943866275023468,0.022466839362800008,0.021779393434909717,0,2.298423296691277,2.599137680787532,2496.621983796234,2497.3377365659194,100,0,0,0,-100,GROW_LEAVES,0.0002918845630869677
386400,0.2740000000000009,0.766044443118979,100.0,0.0,522777.2430193266,19.997602122240984,0.010943866275023468,0.022466839362800008,0.021779393434909717,0,2.298423296691277,2.599137680787532,2496.621983796234,2497.3377365659194,0,0,0,0,100,BUY_LEAF,0.0
387000,0.2740000000000009,0.7933533402912377,100.0,0.0,519660.97313710564,19.997602122240984,0.010943866275023468,0.022466839362800008,0.021779393434909717,0,2.298423296691277,2.599137680787532,2496.621983796234,2497.3377365659194,0,0,0,0,100,BUY_ROOT,0.0
387600,0.2740000000000009,0.8191520442889916,100.0,0.0,516563.4577102523,19.997602122240984,0.010943866275023468,0.022466839362800008,0.021779393434909717,0,2.298423296691277,2.599137680787532,2496.621983796234,2497.3377365659194,0,0,0,0,100,BUY_SEED,0.0
388200,0.2740000000000009,0.843391445812885,100.0,0.0,513484.58412618574,19.997602122240984,0.010943866275023468,0.022466839362800008,0.021779393434909717,0,2.298423296691277,2.599137680787532,2496.621983796234,2497.3377365659194,0,0,0,0,100,BUY_SEED,0.0
388800,-0.6083999999999996,0.8660254037844394,100.0,0.0,510424.2404464947,19.997602122240984,0.010943866275023468,0.022466839362800008,0.021779393434909717,0,2.298423296691277,2.599137680787532,2496.621983796234,2497.3377365659194,0,0,0,0,100,BUY_STEM,0.0
389400,-0.6083999999999996,0.8870108331782219,100.0,0.0,507382.3154028964,19.997602122240984,0.010943866275023468,0.022466839362800008,0.021779393434909717,0,2.298423296691277,2.599137680787532,2496.621983796234,2497.3377365659194,0,0,0,0,100,PRODUCE_STARCH,0.0
390000,-0.6083999999999996,0.9063077870366513,100.0,0.0,504357.9826404494,19.997589266566223,0.010959994435863093,0.022466839362800008,0.021779393434909717,0,2.2980005936762606,2.5998837074230394,2497.3377365659194,2498.0545437143473,100,0,0,0,-100,GROW_LEAVES,0.00029222924239307444
390600,-0.6083999999999996,0.9238795325112862,100.0,0.0,501351.8512120079,19.997576410899335,0.0109761463551571,0.022466839362800008,0.021779393434909717,0,2.2975778909200453,2.6006308330331893,2498.0545437143473,2498.772406794081,100,0,0,0,-100,GROW_LEAVES,0.0002925742276441127
391200,-0.6083999999999996,0.9396926207859088,100.0,0.0,498364.52967775404,19.997576410899335,0.0109761463551571,0.022466839362800008,0.021779393434909717,0,2.2975778909200453,2.6006308330331893,2498.0545437143473,2498.772406794081,0,0,0,0,100,BUY_SEED,0.0
