Time,,,Percentage Sliders,,,,,Intake,Mikromol/Second,,,Masses,gramm DW,,,Pools,Mikromol,,Rates,MirkoMol/Second,,
Days,Hours,Minutes,Leaf_percentage, Stem_percentage,Root_percentage,Starch_percentage,Seed_percentage,Water_in,Nitrate_in,Starch_in,Photon_in,Leaf_mass,Stem_mass,Root_mass,Seed_mass,Water_pool,Starch_pool,Nitrate_pool,Leaf_rate,Stem_rate,Root_rate,Seed_rate
0,0.9868216666666667,59.2093,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.0,0.1,0,0,0,0,0,0,0
0,1.6557119444444444,39.34271666666667,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9001,1.0,4.03994619654074,0.1,0,0,0,0.0,0.0,0.00011538473870809085,0.0
0,2.3236013888888887,19.416083333333333,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9001,1.0,4.086124647165993,0.1,0,0,0,0.0,0.0,0.00011538854260484399,0.0
0,2.992825277777778,59.569516666666665,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9001,1.0,4.132419988160285,0.1,0,0,0,0.0,0.0,0.00011539234662683029,0.0
0,3.6583794444444444,39.502766666666666,0.0,0.0,100.0,-100.0,10,0,0,0,0,0.9001,1.0,4.178486064596466,0.11,0,0,0,0.0,0.0,0.00011539615077449383,0.0
