Time,,,Percentage Sliders,,,,,Intake,Mikromol/Second,,,Masses,gramm DW,,,Pools,Mikromol,,Rates,MirkoMol/Second,,
Days,Hours,Minutes,Leaf_percentage, Stem_percentage,Root_percentage,Starch_percentage,Seed_percentage,Water_in,Nitrate_in,Starch_in,Photon_in,Leaf_mass,Stem_mass,Root_mass,Seed_mass,Water_pool,Starch_pool,Nitrate_pool,Leaf_rate,Stem_rate,Root_rate,Seed_rate
0,1.021183611111111,1.2710166666666667,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.0,0.1,0,0,0,0,0,0,0
0,1.6860705555555555,41.164233333333335,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.039692350115569,0.1,0,0,0,0.0,0.0,0.00011538473870809085,0.0
0,2.3576297222222222,21.45778333333333,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.086009266231172,0.1,0,0,0,0.0,0.0,0.00011538854260484399,0.0
0,3.0225166666666667,1.351,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.132119995447757,0.1,0,0,0,0.0,0.0,0.00011539234662683029,0.0
0,3.686736388888889,41.20418333333333,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.178024514229536,0.1,0,0,0,0.0,0.0,0.00011539615077449383,0.0
0,4.358295555555555,21.497733333333333,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.224553727409782,0.1,0,0,0,0.0,0.0,0.00011539995504694645,0.0
