Time,,,Percentage Sliders,,,,,Intake,Mikromol/Second,,,Masses,gramm DW,,,Pools,Mikromol,,Rates,MirkoMol/Second,,
Days,Hours,Minutes,Leaf_percentage, Stem_percentage,Root_percentage,Starch_percentage,Seed_percentage,Water_in,Nitrate_in,Starch_in,Photon_in,Leaf_mass,Stem_mass,Root_mass,Seed_mass,Water_pool,Starch_pool,Nitrate_pool,Leaf_rate,Stem_rate,Root_rate,Seed_rate
0,0,15,0.0,0.0,100.0,-100.0,0,0.0,0.717948717948718,0.9,0,0.1,0.1,0.8,0.1,1000000.0,1000000.0,100000.0,0.0,0.0,0.013956096642016786,0.0
0,0,18,0.0,0.0,100.0,-100.0,0,0.0,0.7213209437923112,0.9,0,0.1,0.1,0.8037615483756972,0.1,1000040.7520840821,999794.1519999999,99985.36972280896,0.0,0.0,0.013890783076369175,0.0
0,0,22,0.0,0.0,100.0,-100.0,0,0.0,0.7250256763369551,0.9,0,0.1,0.1,0.8078944232009914,0.1,1000085.5270664988,999566.92,99969.2951975734,0.0,0.0,0.013819723212566153,0.0
0,0,27,0.0,0.0,100.0,-100.0,0,0.0,0.7285183118825856,0.9,0,0.1,0.1,0.8117911888294909,0.1,1000127.7440752094,999351.5679999999,99954.13900241138,0.0,0.0,0.013753385682483056,0.0
0,0,30,0.0,0.0,100.0,-100.0,0,0.0,0.7320675851191378,0.9,0,0.1,0.1,0.8157509334971691,0.1,1000170.6433899393,999131.6799999998,99938.73785471695,0.0,0.0,0.013686625237128462,0.0
0,0,34,0.0,0.0,100.0,-100.0,0,0.0,0.7353530537799584,0.9,0,0.1,0.1,0.8194166268954624,0.1,1000210.3569947281,998927.1279999998,99924.48039870206,0.0,0.0,0.013625397565965904,0.0
0,0,38,0.0,0.0,100.0,-100.0,0,0.0,0.7385482574939349,0.9,0,0.1,0.1,0.8229811439629571,0.1,1000248.9744694323,998727.3279999996,99910.61646089215,0.0,0.0,0.01356638289408487,0.0
0,0,42,0.0,0.0,100.0,-100.0,0,0.0,0.7421692624097166,0.9,0,0.1,0.1,0.8270213380079561,0.1,1000292.745361359,998499.8799999995,99894.9024110169,0.0,0.0,0.01350010791802088,0.0
0,0,47,0.0,0.0,100.0,-100.0,0,0.0,0.7458273997886733,0.9,0,0.1,0.1,0.8311028843145419,0.1,1000336.96425785,998268.9759999996,99879.0275244358,0.0,0.0,0.013433808887357863,0.0
0,0,50,0.0,0.0,100.0,-100.0,0,0.0,0.7489943189569133,0.9,0,0.1,0.1,0.8346362769283834,0.1,1000375.244534617,998068.0959999996,99865.28464299388,0.0,0.0,0.013376937502288166,0.0
0,0,54,0.0,0.0,100.0,-100.0,0,0.0,0.7524664103963399,0.9,0,0.1,0.1,0.8385103377733313,0.1,1000417.2155629077,997846.9119999995,99850.21675648662,0.0,0.0,0.013315133768370487,0.0
0,0,58,0.0,0.0,100.0,-100.0,0,0.0,0.7556830105112735,0.9,0,0.1,0.1,0.8420991291871006,0.1,1000456.0960224526,997641.0639999995,99836.25840531838,0.0,0.0,0.013258388385214427,0.0
