Time,,,Percentage Sliders,,,,,Intake,Mikromol/Second,,,Masses,gramm DW,,,Pools,Mikromol,,Rates,MirkoMol/Second,,
Days,Hours,Minutes,Leaf_percentage, Stem_percentage,Root_percentage,Starch_percentage,Seed_percentage,Water_in,Nitrate_in,Starch_in,Photon_in,Leaf_mass,Stem_mass,Root_mass,Seed_mass,Water_pool,Starch_pool,Nitrate_pool,Leaf_rate,Stem_rate,Root_rate,Seed_rate
0,0.9778141666666667,58.66885,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.0,0.1,0,0,0,0,0,0,0
0,1.6396986111111111,38.38191666666667,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.0396692731678385,0.1,0,0,0,0.0,0.0,0.00011538473870809085,0.0
0,2.311591388888889,18.695483333333332,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9001,1.0,4.086147734764639,0.1,0,0,0,0.0,0.0,0.00011538854260484399,0.0
0,2.976478333333333,58.5887,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9001,1.0,4.132073846117073,0.1,0,0,0,0.0,0.0,0.00011539234662683029,0.0
0,3.63903,38.3418,7.5,7.5,85.0,-100.0,0,0,0,0,0,0.9001,1.0,4.177955308493577,0.1,0,0,0,0.0,0.0,0.00011539615077449383,0.0
0,4.311923611111111,18.715416666666666,7.5,7.5,85.0,-100.0,0,0,0,0,0,0.9027342681552495,1.0026342681552476,4.218496031148072,0.1,0,0,0,8.475766265281237e-06,8.475766265281237e-06,9.605868433970599e-05,0.0
0,4.980480277777778,58.82881666666667,7.5,7.5,85.0,-100.0,0,0,0,0,0,0.9061272161794793,1.006027216179476,4.256949442089382,0.1,0,0,0,8.462919912410882e-06,8.462919912410882e-06,9.59130923408047e-05,0.0
0,5.6433655555555555,38.601933333333335,7.5,7.5,85.0,-100.0,0,0,0,0,0,0.9094904694845681,1.0093904694845284,4.295066312880184,0.1,0,0,0,8.463192709640133e-06,8.46319270952911e-06,9.591618404192204e-05,0.0
0,6.315258333333333,18.9155,7.5,7.5,85.0,-100.0,10,0,0,0,0,0.9128978422049181,1.012797842204869,4.333683203710595,0.11,0,0,0,8.463465515640145e-06,8.463465515640145e-06,9.591927584340354e-05,0.0
0,6.9748075,58.48845,7.5,7.5,85.0,-100.0,10,0,0,0,0,0.916202680839453,1.0161026808394023,4.371138041568701,0.14379551030171425,0,0,0,8.326751881115868e-06,8.326751881115868e-06,9.436985465294256e-05,1.1102335841561839e-05
0,7.6450322222222225,38.701933333333336,7.5,7.5,85.0,-100.0,10,0,0,0,0,0.9195484654245251,1.019448465424509,4.409056933533113,0.1884059714363057,0,0,0,8.321694950907954e-06,8.321694951018976e-06,9.431254277769696e-05,1.1095593267951287e-05
0,8.312254444444445,18.735266666666668,7.5,7.5,85.0,-100.0,10,0,0,0,0,0.9228506132445103,1.0227506132444693,4.446481275492732,0.23243460903582638,0,0,0,8.327354779069651e-06,8.327354778958629e-06,9.437668749523453e-05,1.110313970531518e-05
0,8.979810277777778,58.78861666666667,7.5,7.5,85.0,-100.0,10,0,0,0,0,0.9261949440218706,1.0260949440218206,4.484383690969546,0.27702568606720346,0,0,0,8.327560395260392e-06,8.327560395260392e-06,9.43790178133952e-05,1.1103413860347189e-05
0,9.646698888888888,38.80193333333333,100.0,0.0,0.0,-100.0,10,0,0,0,0,0.929520900087616,1.029420900087535,4.52207785971444,0.32137176694359837,0,0,0,8.321422345081153e-06,8.32142234497013e-06,9.430945324329087e-05,1.1095229793367523e-05
0,10.310585,18.6351,100.0,0.0,0.0,-100.0,10,0,0,0,0,0.9584892662435983,1.0302330709084042,4.531282462350986,0.36035690655732766,0,0,0,9.372901243376308e-05,0.0,0.0,9.372901243476228e-06
0,10.982477777777778,58.94866666666667,100.0,0.0,0.0,-100.0,10,0,0,0,0,0.9962016725637056,1.0302330709084042,4.531282462350986,0.39806931287751957,0,0,0,9.37159593084047e-05,0.0,0.0,9.37159593084047e-06
0,11.653369722222223,39.20218333333333,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.0338962929438908,1.0302330709084042,4.531282462350986,0.43576393325763296,0,0,0,9.372233391058415e-05,0.0,0.0,9.372233391036211e-06
0,12.311584444444444,18.695066666666666,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040813001186492,1.0302330709084042,4.5762516739300665,0.48764985307943587,0,0,0,0.0,0.0,0.00013982963799463732,1.3982963799508141e-05
0,12.981475555555555,58.888533333333335,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.0302330709084042,4.632353854839874,0.543752033989212,0,0,0,0.0,0.0,0.00013983766510872186,1.3983766510849982e-05
0,13.657038055555555,39.42228333333333,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.0302330709084042,4.688971263184222,0.600369442333749,0,0,0,0.0,0.0,0.00013987356410272156,1.398735641033877e-05
0,14.321591388888889,19.295483333333333,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.0302330709084042,4.744686965151722,0.6560851443012378,0,0,0,0.0,0.0,0.0001398418719857908,1.3984187198556874e-05
0,14.981807777777778,58.90846666666667,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.0302330709084042,4.800086890446465,0.711485069595888,0,0,0,0.0,0.0,0.0001399128543169148,1.3991285431669276e-05
0,15.654701388888888,39.28208333333333,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.0302330709084042,4.856539400108706,0.7679375792580446,0,0,0,0.0,0.0,0.00013986223911821583,1.3986223911799378e-05
0,16.322590833333333,19.35545,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.0300954709084034,4.912427735306612,0.8238259144558678,0,0,0,0.0,0.0,0.0001398603021964817,1.3986030219625967e-05
0,16.98547611111111,59.128566666666664,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.0298964709084033,4.968098189683891,0.8794963688333458,0,0,0,0.0,0.0,0.00013987874858001348,1.3987874858067961e-05
0,17.662706666666665,39.7624,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.0296934709084062,5.024900302647154,0.9362984817967438,0,0,0,0.0,0.0,0.00013991583504102678,1.3991583504124883e-05
0,18.3242575,19.45545,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.0294952709084089,5.080353344281895,0.9917515234314279,0,0,0,0.0,0.0,0.00013988674051246264,1.398867405122406e-05
0,18.985141111111112,59.108466666666665,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.0292970709084122,5.13580228968146,1.0472004688309764,0,0,0,0.0,0.0,0.00013988001609011036,1.3988001609011036e-05
0,19.658368333333332,39.5021,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.0290953709084127,5.192234467996514,1.103632647145956,0,0,0,0.0,0.0,0.00013989394499613894,1.398939449959169e-05
0,20.326925,19.6155,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.0288938709084134,5.248625403807157,1.1600235829570003,0,0,0,0.0,0.0,0.0001399374159980482,1.3993741599938048e-05
0,20.986807777777777,59.208466666666666,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.028696270908413,5.303910908865881,1.2153090880156827,0,0,0,0.0,0.0,0.0001398817016200482,1.3988170161960412e-05
0,21.660702222222223,39.642133333333334,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.028650070908413,5.360477598278122,1.2718757774278153,0,0,0,0.0,0.0,0.00013996671001459404,1.39966710014372e-05
0,22.331260555555556,19.875633333333333,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.028650070908413,5.416771858305014,1.3281700374548326,0,0,0,0.0,0.0,0.0001399656367557789,1.3996563675622298e-05
0,22.996481111111112,59.788866666666664,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.028650070908413,5.472549735138427,1.3839479142880664,0,0,0,0.0,0.0,0.0001399261892083281,1.3992618920766198e-05
0,23.66336972222222,39.80218333333333,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.028650070908413,5.528482677668378,1.4398808568178982,0,0,0,0.0,0.0,0.00013998330606801446,1.3998330606779241e-05
1,0.3285902777777778,19.715416666666666,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.028650070908413,5.584377108248137,1.4957752873975676,0,0,0,0.0,0.0,0.00013993696942682377,1.3993696942660172e-05
1,0.9938108333333333,59.62865,1.4210854715202004e-14,0.0,100.0,-100.0,10,0,0,0,0,1.040913001186492,1.028650070908413,5.640131667136776,1.5515298462861924,0,0,0,0.0,0.0,0.00013994827647856312,1.3994827647856312e-05
