Time,,,Percentage Sliders,,,,,Intake,Mikromol/Second,,,Masses,gramm DW,,,Pools,Mikromol,,Rates,MirkoMol/Second,,
Days,Hours,Minutes,Leaf_percentage, Stem_percentage,Root_percentage,Starch_percentage,Seed_percentage,Water_in,Nitrate_in,Starch_in,Photon_in,Leaf_mass,Stem_mass,Root_mass,Seed_mass,Water_pool,Starch_pool,Nitrate_pool,Leaf_rate,Stem_rate,Root_rate,Seed_rate
0,1.3761458333333334,22.56875,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1,4.0,0.1,0,0,0,0,0,0,0
0,2.041366388888889,2.4819833333333334,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.089263105211839,0.1,0,0,0,0.0,0.0,0.00023077328131293484,0.0
0,2.704918888888889,42.29513333333333,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9001,1.0,4.136504599542349,0.1,0,0,0,0.0,0.0,0.00011539234662683029,0.0
