Time,,,Percentage Sliders,,,,,Intake,Mikromol/Second,,,Masses,gramm DW,,,Pools,Mikromol,,Rates,MirkoMol/Second,,
Days,Hours,Minutes,Leaf_percentage, Stem_percentage,Root_percentage,Starch_percentage,Seed_percentage,Water_in,Nitrate_in,Starch_in,Photon_in,Leaf_mass,Stem_mass,Root_mass,Seed_mass,Water_pool,Starch_pool,Nitrate_pool,Leaf_rate,Stem_rate,Root_rate,Seed_rate
0,3.939613611111111,56.37681666666667,0.0,0.0,100.0,0,0,0,0,0,0,0.9,1.0,4.0,0.1,0,0,0,0,0,0,0
0,4.614175277777778,36.850516666666664,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.2266305690214105,0.1,0,0,0,0.0,0.0,0.0005769617337612054,0.0
0,5.277060555555556,16.623633333333334,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9001,1.0,4.280984689752306,0.1,0,0,0,0.0,0.0,0.0001154037594450763,0.0
0,5.9479525,56.87715,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9002,1.0,4.327470788798439,0.1,0,0,0,0.0,0.0,0.00011540756396888341,0.0
0,6.612839444444444,36.77036666666667,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9003,1.0,4.373473693367551,0.1,0,0,0,0.0,0.0,0.00011541136861747958,0.0
