gr,sr,time,speed,water,nitrate,leaf_mass,stem_mass,root_mass,starch_mass
0.01041081143956791,0,830682,10,8.631937204957842,9.23838090446423,1,1.0,3.5021678445058986,15.55400000000008
0.01041081143956791,0,841869,10,8.661168308124305,9.228158862109439,1,1.0,3.5208512497724165,15.49400000000008
0.01041081143956791,0,852616,10,8.689456472478946,9.218266563056414,1,1.0,3.5396343274840745,15.43400000000008
0.01041081143956791,0,863704,10,8.71868757564541,9.208044520701621,1,1.0,3.5585176093745785,15.374000000000079
0.01041081143956791,0,875166,10,8.747918678811873,9.19782247834683,1,1.0,3.5775016300143334,15.314000000000078
0.01041081143956791,0,885605,10,8.77337802673105,9.188919409199107,1,1.0,3.5965869268255766,15.254000000000078
0.01041081143956791,0,896792,10,8.802609129897514,9.178697366844315,1,1.0,3.6157740400975915,15.194000000000077
0.01041081143956791,0,907627,10,8.830897294252155,9.16880506779129,1,1.0,3.6350635130020033,15.134000000000077
0.01041081143956791,0,918781,10,8.860128397418618,9.158583025436497,1,1.0,3.6544558916081553,15.074000000000076
0.01041081143956791,0,929583,10,8.88841656177326,9.148690726383473,1,1.0,3.6739517248985676,15.014000000000076
0.01041081143956791,0,940814,10,8.917647664939723,9.13846868402868,1,1.0,3.693551564784479,14.954000000000075
0.01041081143956791,0,951605,10,8.945935829294365,9.128576384975656,1,1.0,3.7132559661214706,14.894000000000075
0.01041081143956791,0,962627,10,8.974223993649007,9.11868408592263,1,1.0,3.733065486725173,14.834000000000074
0.01041081143956791,0,973803,10,9.00345509681547,9.108462043567839,1,1.0,3.7529806873870584,14.774000000000074
0.01041081143956791,0,984638,10,9.031743261170112,9.098569744514814,1,1.0,3.773002131890316,14.714000000000073
0.01041081143956791,0,995792,10,9.060974364336575,9.088347702160021,1,1.0,3.7931303870258115,14.654000000000073
0.01041081143956791,0,1006616,10,9.089262528691217,9.078455403106997,1,1.0,3.8133660226081334,14.594000000000072
0.01041081143956791,0,1017770,10,9.11849363185768,9.068233360752204,1,1.0,3.8337096114917237,14.534000000000072
0.01041081143956791,0,1028880,10,9.147724735024143,9.058011318397412,1,1.0,3.8541617295870947,14.474000000000071
0.01041081143956791,0,1039693,10,9.176012899378785,9.048119019344387,1,1.0,3.874722955877133,14.41400000000007
0.01041081143956791,0,1050759,10,9.205244002545248,9.037896976989595,1,1.0,3.8953938724334884,14.35400000000007
0.01041081143956791,0,1061759,10,9.234475105711711,9.027674934634803,1,1.0,3.9161750644330553,14.29400000000007
0.01041081143956791,0,1072869,10,9.263706208878174,9.01745289228001,1,1.0,3.937067120174535,14.23400000000007
0.01041081143956791,0,1083671,10,9.291994373232816,9.007560593226986,1,1.0,3.9580706310950924,14.174000000000069
0.01041081143956791,0,1094781,10,9.32122547639928,8.997338550872193,1,1.0,3.979186191787097,14.114000000000068
0.01041081143956791,0,1105935,10,9.350456579565742,8.987116508517401,1,1.0,4.000414400014958,14.054000000000068
0.01041081143956791,0,1116814,10,9.378744743920384,8.977224209464376,1,1.0,4.021755856732044,13.994000000000067
0.01041081143956791,0,1127627,10,9.407032908275026,8.967331910411351,1,1.0,4.043211166097698,13.934000000000067
0.01041081143956791,0,1138748,10,9.436264011441489,8.957109868056559,1,1.0,4.064780935494336,13.874000000000066
0.01041081143956791,0,1149836,10,9.465495114607952,8.946887825701767,1,1.0,4.0864657755446485,13.814000000000066
0.01041081143956791,0,1160671,10,9.493783278962594,8.936995526648742,1,1.0,4.10826630012888,13.754000000000065
0.01041081143956791,0,1171946,10,9.523014382129057,8.92677348429395,1,1.0,4.130183126402213,13.694000000000065
0.01041081143956791,0,1182770,10,9.551302546483699,8.916881185240925,1,1.0,4.1522168748122334,13.634000000000064
0.01041081143956791,0,1193814,10,9.57959071083834,8.9069888861879,1,1.0,4.174368169116501,13.574000000000064
0.01041081143956791,0,1204726,10,9.607878875192982,8.897096587134875,1,1.0,4.196637636400203,13.514000000000063
0.01041081143956791,0,1215781,10,9.637109978359446,8.886874544780083,1,1.0,4.219025907093908,13.454000000000063
0.01041081143956791,0,1226715,10,9.665398142714087,8.876982245727058,1,1.0,4.241533614991413,13.394000000000062
0.01041081143956791,0,1237682,10,9.69368630706873,8.867089946674033,1,1.0,4.264161397267686,13.334000000000062
0.01041081143956791,0,1248858,10,9.719145654987907,8.858186877526311,1,1.0002519216538257,4.2847614253141435,13.274000000000061
0.01041081143956791,0,1259979,10,9.744605002907084,8.849283808378589,1,1.000503906772171,4.305460971440706,13.21400000000006
0.04484460057352754,0,1271419,10,9.770064350826262,8.840380739230866,1,1.0007559553710241,4.326260516416053,13.15400000000006
0.0472245397788056,0,1281693,10,9.517356039131831,8.803451113199209,1.0011852617723236,1.0018419289554552,4.416287443177434,13.09400000000006
0.0483944217984915,0,1292924,10,9.203660942594277,8.75857860034602,1.002329359439771,1.0029867770248724,4.513065002141108,13.03400000000006
0.04816975762696637,0,1303847,10,8.889916918742808,8.714127275952633,1.003503139358019,1.0041613268133749,4.614413307425885,12.974000000000059
0.04661639742393377,0,1314726,10,9.478190358026307,8.66988231046584,1.004672838347392,1.0053317929963632,4.7175564950430235,12.914000000000058
0.043767674020469265,0,1325693,10,13.530412825869336,8.627064139963231,1.0058061367767086,1.0064658347445397,4.81960471042482,12.854000000000058
0.03958162790125497,0,1337034,10,17.748830483943546,8.585476323030846,1.0068713797211175,1.0075317763709113,4.917489336048006,12.794000000000057
0.03450739537618955,0,1349728,10,17.964224520615318,8.549119740671324,1.007835760544963,1.0084967897222852,5.007809907223922,12.734000000000057
0.02857310573132731,0,1359276,10,17.80777776277762,8.522888742130272,1.0086773162377414,1.0093388973828434,5.087997949692966,12.674000000000056
0.021923923291937958,0,1370408,10,17.67670834406364,8.49754872633529,1.009374730172502,1.0100367687442777,5.155459135792628,12.614000000000056
0.014761329303305938,0,1382772,10,17.603289026252455,8.478105527974941,1.0099102204867665,1.0105726102811678,5.207907895125651,12.554000000000055
0.010410811439567923,0,1394212,10,17.5935880476669,8.466884617118078,1.0102709562117889,1.0109335826090662,5.243580790532041,12.494000000000055
0.010410811439567923,0,1402825,10,17.61527564033879,8.459300521177425,1.0105254653418898,1.011188258669105,5.268912362507257,12.434000000000054
0.010410811439567923,0,1414001,10,17.643563804693432,8.4494082221244,1.0107800385883519,1.0114429988875582,5.294366310500765,12.374000000000054
0.010410811439567923,0,1424803,10,17.670909030236253,8.439845666373143,1.011034675967327,1.0116978032805883,5.319943225707215,12.314000000000053
0.010410811439567923,0,1436001,10,17.699197194590894,8.429953367320119,1.011289377494972,1.0119526718643628,5.345643702177301,12.254000000000053
0.010410811439567923,0,1446759,10,17.725599481321893,8.420720554870629,1.011544143187447,1.0122076046550523,5.3714683368315574,12.194000000000052
0.010410811439567923,0,1457781,10,17.752944706864714,8.411157999119371,1.0117989730609165,1.012462601668832,5.3974177294742205,12.134000000000052
0.010410811439567923,0,1468814,10,17.780289932407534,8.401595443368114,1.0120538671315493,1.0127176629218813,5.4234924828071644,12.074000000000051
0.010410811439567923,0,1479869,10,17.807635157950354,8.392032887616857,1.0123088254155177,1.0129727884303832,5.449693202443894,12.01400000000005
0.010410811439567923,0,1490781,10,17.834980383493175,8.3824703318656,1.012563847928999,1.0132279782105251,5.476020496923617,11.95400000000005
0.010410811439567923,0,1501891,10,17.862325609035995,8.372907776114342,1.0128189346881733,1.0134832322784986,5.502474977725372,11.89400000000005
0.010410811439567923,0,1513056,10,17.889670834578816,8.363345220363085,1.013074085709226,1.0137385506504988,5.529057259282235,11.83400000000005
0.010410811439567923,0,1524001,10,17.916073121309815,8.354112407913595,1.013329301008346,1.0139939333427257,5.555767958995586,11.774000000000049
0.010410811439567923,0,1534781,10,17.942475408040814,8.344879595464105,1.018735221809337,1.0139939333427257,5.555792802862776,11.714000000000048
0.010410811439567923,0,1545957,10,17.969820633583634,8.335317039712848,1.0241699821787462,1.0139939333427257,5.555817646841059,11.654000000000048
0.010410811439567923,0,1557034,10,17.997165859126454,8.32575448396159,1.0296337359702348,1.0139939333427257,5.555842490930439,11.594000000000047
0.011860435623814107,0,1568364,10,18.024511084669275,8.316191928210333,1.0351266378582438,1.0139939333427257,5.555867335130914,11.534000000000047
0.01922578965394418,0,1580552,10,18.038344761461406,8.305673518735734,1.0414177673274674,1.0139939333427257,5.555895638818837,11.474000000000046
