Time,,,Percentage Sliders,,,,,Intake,Mikromol/Second,,,Masses,gramm DW,,,Pools,Mikromol,,Rates,MirkoMol/Second,,
Days,Hours,Minutes,Leaf_percentage, Stem_percentage,Root_percentage,Starch_percentage,Seed_percentage,Water_in,Nitrate_in,Starch_in,Photon_in,Leaf_mass,Stem_mass,Root_mass,Seed_mass,Water_pool,Starch_pool,Nitrate_pool,Leaf_rate,Stem_rate,Root_rate,Seed_rate
0,1.2026680555555556,12.160083333333333,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.0,0.1,0,0,0,0,0,0,0
0,1.8685558333333334,52.11335,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.040084658227192,0.1,0,0,0,0.0,0.0,0.00011538473870809085,0.0
0,2.5324419444444444,31.946516666666668,0.0,0.0,100.0,-100.0,0,0,0,0,0,0.9,1.0,4.086009255580264,0.1,0,0,0,0.0,0.0,0.00011538854260484399,0.0
